encryptedHexCardNo,dateTimeTransaction,merchantCategoryCode,transactionAmount,latitude,longitude,cardBalance,is_fraud
5359540000000000.0,25-09-2020 21:36,fraud_Mosciski Group,8517.38,45.7801,-111.1439,65597.94,0
3513620000000000.0,15-11-2020 04:58,fraud_Dooley-Thompson,187.99,43.7588,-97.8712,42507.98,0
30235400000000.0,13-11-2020 12:15,fraud_Roberts-Beahan,7.81,38.5072,-81.89,16664.64,0
6011100000000000.0,29-06-2020 08:55,fraud_Kunze Inc,122.29,36.9688,-78.5615,39371.41,0
3537800000000000.0,18-07-2020 06:56,"fraud_Greenholt, O'Hara and Balistreri",9.21,47.4852,-120.4158,38967.53,0
30487600000000.0,10-08-2020 05:14,"fraud_Eichmann, Bogan and Rodriguez",49.01,38.097,-86.1723,1443.09,0
3583790000000000.0,03-07-2020 20:34,"fraud_Bradtke, Torp and Bahringer",39.91,34.847,-98.9836,39030.58,0
4104310000000000.0,26-12-2020 00:38,fraud_Emard Inc,52.49,33.6401,-116.5567,27972.15,0
6011550000000000.0,01-12-2020 14:20,fraud_Rolfson-Kunde,67.57,41.0552,-110.1603,35548.55,0
377234000000000.0,19-12-2020 05:17,"fraud_Rohan, White and Aufderhar",4.41,39.3716,-77.8229,9256.17,0
4981130000000.0,08-10-2020 16:36,fraud_Abbott-Rogahn,22.32,40.0113,-80.9701,41108.63,0
4981130000000.0,03-10-2020 15:30,fraud_Altenwerth-Kilback,14.11,40.0113,-80.9701,16737.84,0
4383520000000.0,08-08-2020 14:50,"fraud_Reichert, Huels and Hoppe",6.54,39.9347,-86.1633,40864.59,0
3536920000000000.0,08-09-2020 07:04,fraud_Boyer-Reichert,633.76,37.3304,-121.7913,3986.42,0
4260130000000.0,24-09-2020 12:15,fraud_Kuhn LLC,212.34,37.2409,-82.7696,45467.82,0
5104810000000000.0,27-07-2020 22:20,fraud_Leffler-Goldner,80.16,40.8295,-72.6473,28461.8,0
3514870000000000.0,18-09-2020 00:26,fraud_Cummerata-Jones,29.88,32.9396,-105.8189,47047.29,0
371009000000000.0,06-09-2020 14:52,"fraud_Welch, Rath and Koepp",27.14,31.2462,-83.6549,37553.49,0
4.59974e+18,13-07-2020 13:05,fraud_Gaylord-Powlowski,66.6,36.3846,-89.4649,46130.81,0
6011890000000000.0,14-07-2020 13:50,"fraud_Langworth, Boehm and Gulgowski",1.46,39.5994,-105.0044,48451.82,0
376657000000000.0,09-12-2020 12:13,fraud_Ernser-Lynch,29.99,31.1569,-94.3871,8274.77,0
4538570000000.0,20-12-2020 03:20,fraud_Stamm-Rodriguez,3.25,40.817,-74.0,6139.5,0
3513620000000000.0,27-09-2020 02:04,"fraud_Lehner, Reichert and Mills",9.93,43.7588,-97.8712,24079.83,0
30273000000000.0,19-12-2020 16:38,fraud_Hyatt-Blick,6.94,35.5762,-91.4539,43859.76,0
2242540000000000.0,22-12-2020 08:47,"fraud_Swaniawski, Bahringer and Ledner",48.72,38.4921,-85.4524,18783.08,0
3521420000000000.0,28-12-2020 09:05,fraud_Kuhn LLC,338.0,39.849,-86.272,5261.41,0
2305340000000000.0,05-10-2020 20:49,fraud_Ruecker-Mayert,1.77,40.6866,-92.6833,46171.54,0
4610050000000000.0,05-07-2020 15:52,fraud_Kuhn LLC,136.13,41.4798,-79.9403,17494.35,0
